id;start_time;end_time;is_returned
1;2024-05-21T03:31:28;2024-05-21T00:41:58;true
2;2024-05-21T08:44:35;2024-05-20T13:56:10;false
3;2024-05-20T12:07:27;2024-05-20T21:25:15;true
4;2024-05-21T03:28:18;2024-05-21T08:09:06;false
5;2024-05-21T08:29:31;2024-05-20T23:57:20;false
6;2024-05-21T03:06:47;2024-05-20T15:46:45;true
7;2024-05-20T23:51:55;2024-05-21T08:39:58;true
8;2024-05-20T12:56:08;2024-05-21T07:30:42;true
9;2024-05-20T10:44:48;2024-05-20T22:14:49;true
10;2024-05-21T05:27:59;2024-05-20T20:43:13;true
